회사명,corp_eng_name,stock_code,is_defaulted,y_proba
힘스,"HIMS CO., LTD.",238490,1.0,0.6498956052917914
히든챔피언제1호기업인수목적,HiddenChampion 1st Special Purpose Acquisition Company,123160,-1.0,
희훈디앤지,HEEHOON DESIGN & GLOBAL.CO.LTD,019640,-1.0,
희림,Heerim Architects & Planners,037440,1.0,0.5405912607297652
흥아해운,"HEUNG-A SHIPPING CO.,LTD.",003280,1.0,0.7053371815000217
흥국화재,"Heungkuk Fire & Marine Insurance Co., Ltd.",000540,-1.0,
흥국에프엔비,"HYUNGKUK F&B Co.,Ltd",189980,1.0,0.6159923406112127
흥국,"HEUNGKUK METALTECH CO.,LTD.",010240,0.0,0.2382306713445737
흥구석유,HeunguOil,024060,0.0,0.4838504521229906
휴코드홀딩스,"Hucord Co., Ltd.",036840,-1.0,
휴젤,"Hugel, Inc.",145020,1.0,0.6311989776006527
휴온스글로벌,"Huons Global Co., Ltd.",084110,1.0,0.5314298175199477
휴온스,"HUONS CO., LTD.",243070,1.0,0.6619434420217034
휴엠앤씨,"HuM&C Co., Ltd.",263920,1.0,0.6086862278994091
휴스틸,"HUSTEEL CO.,LTD",005010,1.0,0.5413266905758009
휴스토리,"Hustory Co., Ltd.",046400,-1.0,
휴비츠,"Huvitz Co., Ltd.",065510,1.0,0.5597173184877082
휴비스,HUVIS CORPORATION,079980,1.0,0.5529790648185423
휴메딕스,"Humedix Co., Ltd.",200670,1.0,0.5640409405361299
휴먼텍코리아,HUMAN & TECHNOLOGIES CORPORATION,066060,-1.0,
휴먼테크놀로지,"HUMAN TECHNOLOGY Co., Ltd",175140,1.0,0.5781146151432355
휴맥스홀딩스,"Humax Holdings Co., Ltd",028080,1.0,0.6057773169009056
휴맥스,"HUMAX CO., LTD.",115160,1.0,0.6616715086129061
휴마시스,"HUMASIS CO., LTD.",205470,1.0,0.53573837147586
휴림에이텍,"HYULIM A-TECH Co., Ltd.",078590,0.0,0.1690741747383864
휴림로봇,"Hyulim ROBOT Co.,Ltd.",090710,1.0,0.5457977218839901
휴리프,"HULIF CO.,LTD",006210,-1.0,
휴럼,"Hurum Co., Ltd.",353190,1.0,0.532249324104501
휴럼,"Hurum Co., Ltd.",284420,-1.0,
휴닉스,HUNIX INC.,009790,-1.0,
휴니드테크놀러지스,HUNEED TECHNOLOGIES,005870,0.0,0.3308195385172609
휴네시온,"Hunesion co.,ltd",290270,1.0,0.5836813532331383
휘튼,"FITTON Co., Ltd",066480,-1.0,
훈영,"Hoonyoung CO.,LTD.",017170,-1.0,
후야인포넷,"HOOYA INFONET CO., LTD.",032050,-1.0,
후성,"FOOSUNG CO.,LTD",093370,0.0,0.4261285889486269
효성화학,Hyosung Chemical Corporation,298000,1.0,0.6402998917156205
효성티앤씨,Hyosung TNC Corporation,298020,1.0,0.5383156755750739
효성중공업,Hyosung Heavy Industries Corporation,298040,1.0,0.6529471322489803
효성오앤비,"HyosungONBCo.,Ltd",097870,-1.0,
효성 ITX,"HYOSUNG ITX.CO.,LTD",094280,1.0,0.6498941527715967
효성,HYOSUNG CORPORATION,004800,0.0,0.4988314579776669
황금에스티,"Hwang Kum Steel & Technology Co., Ltd",032560,1.0,0.6130985102298048
환인제약,"WHANIN PHARM CO.,LTD",016580,1.0,0.631076360783813
화천기공,"HWACHEON MACHINE TOOL CO.,LTD",000850,1.0,0.5961708259220222
화천기계,"HWACHEON MACHINERY CO.,LTD",010660,0.0,0.2443107703347784
화일약품,"HWAIL PHARM. CO., LTD",061250,1.0,0.5726197253929327
화인자산관리,Fine Asset Management Corporation,010460,-1.0,
화인써키트,"Finecircuit CO.,LTD.",127980,0.0,0.4493153148170202
화인베스틸,"FINEBESTEEL CO., LTD",133820,1.0,0.6311290451370533
화신테크,"HWASHIN TECH CO.,LTD",086250,-1.0,
화신정공,"HWASHIN PRECISION CO., LTD.",126640,1.0,0.5670649124468681
